id,source,sentence_1,sentence_2,label,binary-label
boostcamp-sts-v1-train-030,petition-rtt,금융위원회가 공모주 개별 배정을 축소하는 것을 막아주세요.,금융감독원이 공모주 개별 배정을 축소(폐지)하는 것을 막아달라.,4.4,1.0
boostcamp-sts-v1-train-031,slack-rtt,저는 지금 매우 만족합니다.,저는 지금 매우 만족합니다.,4.4,1.0
boostcamp-sts-v1-train-032,slack-sampled,저도 되게 좋아하는 노래예요.,오! 나도 좋아하는 노래야,4.0,1.0
boostcamp-sts-v1-train-033,nsmc-sampled,그것은 잘 만들어진 영화입니다.,잘 만들어진 영화인 것 같아요.,3.6,1.0
boostcamp-sts-v1-train-034,nsmc-rtt,"전설에 따르면, 이 영화는 꽤 좋을 뿐만 아니라, 내가 가장 좋아하는 장학우, 장만옥이다.","전설에 따르면, 이 영화는 꽤 좋을 뿐만 아니라 내가 가장 좋아하는 장학우, 장만옥도 있다.",4.0,1.0
boostcamp-sts-v1-train-035,slack-sampled,다시 한 번 해보고 싶어요.,얼마나 먹고 싶었는데?,1.2,0.0
boostcamp-sts-v1-train-036,petition-rtt,보험은 재산을 압류해서는 안 된다.,보험은 재산을 몰수해서는 안 된다.,3.4,1.0
boostcamp-sts-v1-train-037,petition-rtt,엑소엘 전광판 케이스 공론화,"엑소엘, 빌보드 사건 공개",0.8,0.0
boostcamp-sts-v1-train-038,nsmc-sampled,아무리 힘들어도 걷는 설정이 조금 -_-;,근데 앨리슨 로만이 벗었다니 충격적이야 -_-;;,0.0,0.0
boostcamp-sts-v1-train-039,petition-sampled,휴교를 명령해 주세요.,"대구광역시, 폐교 부탁드립니다.",2.8,1.0
boostcamp-sts-v1-train-040,nsmc-sampled,왜 이제서야 그런 걸작을 보게 되었을까?,왜 나는 마침내 그런 걸작을 보게 되었을까?,4.2,1.0
boostcamp-sts-v1-train-041,petition-sampled,나이가 문제인가요?,내가 누구게?,0.0,0.0
boostcamp-sts-v1-train-042,petition-sampled,소년법을 폐지해 주세요.,청소년 보호법을 폐지해 주세요.,3.8,1.0
boostcamp-sts-v1-train-043,petition-rtt,"의료환경 개선과 경찰, 소방공무원 지원 부탁드립니다.","의료환경 개선과 경찰, 소방관 지원 부탁드립니다.",4.4,1.0
boostcamp-sts-v1-train-044,petition-sampled,공무원들이 수당을 속이지 않게 해주세요.,최저임금 인상으로 인한 정부보조금 불법 수급에 대해 처벌해 주세요.,0.8,0.0
boostcamp-sts-v1-train-045,slack-rtt,나는 낮에 산책하는 것을 확실히 추천한다!,나는 하루 산책하는 것을 확실히 추천한다!,4.0,1.0
boostcamp-sts-v1-train-046,slack-sampled,나는 네가 왜 냄비에 있는지 궁금했어 ㅋㅋㅋ,사과나 우유에 단백질을 넣어요 하하,0.0,0.0
boostcamp-sts-v1-train-047,nsmc-sampled,동생이랑 같이 봤는데 무섭지 않게 잘 본 것 같아요.,나도 그 내용이 마음에 들지 않아...,0.0,0.0
boostcamp-sts-v1-train-048,petition-sampled,알코올 중독자는 기초생활수급자입니까?,장애인 기초생활수급자.,1.0,0.0
boostcamp-sts-v1-train-049,petition-sampled,구의원 선거. 오늘은 여기까지 하자.,"국회의원, 도의원, 시의원 3선 이상 출마 금지",0.8,0.0
boostcamp-sts-v1-train-050,petition-rtt,나는 아이스하키 단일팀을 구성하는 것에 반대한다.,나는 아이스하키 단일팀을 구성하는 것에 반대한다.,4.0,1.0
boostcamp-sts-v1-train-051,nsmc-sampled,나는 내 아이들이 그것을 보는 것을 원하지 않는다.,아이들과 함께 보는 것도 좋을 것 같아요.,0.6,0.0
boostcamp-sts-v1-train-052,slack-sampled,우리는 함께 이야기했고 나는 시간이 가는 줄 몰랐다.,고양이와 재미있는 이야기를 하고 있어서 시간 가는 줄 몰랐어요.,3.0,1.0
boostcamp-sts-v1-train-053,nsmc-sampled,하지만 관객에 대한 배려가 없다.,이런 수준으로 영화관에 보내는 것은 관객에 대한 모욕이다.,1.8,0.0
boostcamp-sts-v1-train-054,petition-sampled,나는 네가 지금 가지고 있는 시설들을 잘 관리하길 바란다.,여성가족부를 폐지하고 예산을 좀 더 제대로 쓰고 싶다.,0.0,0.0
boostcamp-sts-v1-train-055,nsmc-sampled,하지만 멜로 연기는,"귀신이 나왔을 때, 그 멜로디는 내가 어렸을 때 충격적이었다.",0.0,0.0
boostcamp-sts-v1-train-056,nsmc-sampled,최고인 것 같아요.,이게 제일 재밌었던 것 같아요.,1.6,0.0
boostcamp-sts-v1-train-057,petition-rtt,청소년법 폐지에 적극 동참하겠습니다.,청소년법 폐지에 대한 적극적인 참여,4.0,1.0
boostcamp-sts-v1-train-058,nsmc-rtt,겹치는 장면이 재밌다.,겹치는 장면이 재미있다.,3.6,1.0
boostcamp-sts-v1-train-059,nsmc-sampled,이거 진짜 대박이다.,이게 진짜 최고야.,3.8,1.0
boostcamp-sts-v1-train-060,slack-sampled,책의 앞부분을 읽어보면 우리 회사의 문화와 업무 스타일에 대한 좋은 팁들이 있어!,첫날부터 우리 회사의 좋은 문화를 경험하고 있어 하하,1.0,0.0
boostcamp-sts-v1-train-061,petition-sampled,그루밍 성범죄법이 있어야 한다.,!! 청소년 성폭력 범죄의 절반인 '그루밍 범죄'!!,1.0,0.0
boostcamp-sts-v1-train-062,slack-rtt,"네, 다행히도, 그 산업은 다릅니다!","네, 다행히 업계는 달라요!!",4.0,1.0
boostcamp-sts-v1-train-063,slack-sampled,부트캠프 프로그램 얘기부터 추천도메인까지 시간이 너무 빨리 지나가서 너무 아쉬웠어 하하,"우리는 우리의 일과 신병 훈련소, 그리고 미래의 직업에 대해 이야기하면서 한 시간 이상 수다를 떨었다.",2.0,0.0
boostcamp-sts-v1-train-064,nsmc-rtt,"변호사 시절 찍은 사진, 그렉과 함께 전시된 사진, 범행 현장 사진까지 폴이 이름을 붙일 수는 없다.","폴은 변호사 시절 찍은 사진, 그렉과 함께 전시된 사진, 범행 현장 사진 등 자신의 이름을 밝힐 수 없다.",3.8,1.0
boostcamp-sts-v1-train-065,slack-sampled,아 어제 <PERSON> 님이 사오신거!,누구? 나와 <Person> 그리고 경주에서 가까운 곳에 살고 있거나 놀 준비가 되어 있는 사람들.,0.4,0.0
boostcamp-sts-v1-train-066,slack-sampled,그 식당은 정말 좋았다.,너무 멋있다!!,2.8,1.0
boostcamp-sts-v1-train-067,slack-rtt,저는 뮤직비디오를 보는 것을 추천합니다.,저는 뮤직비디오를 보는 것을 추천합니다.,4.2,1.0
boostcamp-sts-v1-train-068,petition-sampled,[주차] 무단주차 단속법 제정 요청,긴급출동시 개인재산(주차차량) 침해 허용,0.4,0.0
boostcamp-sts-v1-train-069,petition-sampled,육아 지원금을 부모님께 드리세요.,어린이집 이용시간을 현실적으로 조정해주세요...,0.8,0.0
boostcamp-sts-v1-train-070,slack-sampled,<PERSON> 님과 어제 저녁에 식사를 하였습니다!,<PERSON> 님과 어제 한시간동안 이야기 나눴습니다!!,0.8,0.0
boostcamp-sts-v1-train-071,slack-sampled,무한 파를 구하려고 해요!,나도 데커 쓰고 있어!,0.0,0.0
boostcamp-sts-v1-train-072,slack-sampled,구글 미트에 맞는 사이즈로 사이즈 변경했습니다.,Swoopa Rijeong과 Shimizu의 배틀곡이기도 합니다.,0.0,0.0
boostcamp-sts-v1-train-073,nsmc-sampled,그것은 감정을 자극하지 않는다.,당신의 감정을 자극한 좋은 영화,1.6,0.0
boostcamp-sts-v1-train-074,slack-sampled,고화질 영상으로 편집할게요! ㅎ,하반신이지만 고관절 요청…!,0.0,0.0
boostcamp-sts-v1-train-075,petition-sampled,"문재인 씨, 불평하지 마세요.","문재인, 제발 욕하지 마세요.",1.6,0.0
boostcamp-sts-v1-train-076,nsmc-sampled,후반부에는 법정 공방과 반전이 영화의 묘미다.,반담의 투지가 담긴 최고의 영화. 복수의 칼날!,0.0,0.0
boostcamp-sts-v1-train-077,slack-sampled,나는 그것이 대나무처럼 자랄 것이라고 생각했다. 놀라운 일이죠.,"새로운 인터넷을 설치해야 한다고 생각했는데, 든든한 것 같아요.",0.0,0.0
boostcamp-sts-v1-train-078,slack-rtt,나는 나중에 일을 통해 너를 다시 만날 수 있을지 궁금해서 끝냈어.,앞으로 일을 통해 다시 만날 수 있을지 궁금했다.,2.4,0.0
boostcamp-sts-v1-train-079,petition-sampled,조두순의 형량을 늘려달라고 간청합니다.,나는 소년법의 폐지를 호소한다.,0.0,0.0
boostcamp-sts-v1-train-080,petition-sampled,가상화 규제에 반대합니다.,패배에 반대하는 가상화 비용 Exchange,2.8,1.0
boostcamp-sts-v1-train-081,slack-sampled,"옛날 옛적에, 유럽의 전쟁 중에, 한 무리의 군대가 마을에 주둔했습니다.",우리는 우리가 사는 곳의 날씨에 대해 이야기하는 것으로 시작했다.,0.0,0.0
boostcamp-sts-v1-train-082,petition-sampled,대동강 맥주 수입해주세요!!!,MBN을 강력하게 제재해주세요!!!!!,0.0,0.0
boostcamp-sts-v1-train-083,petition-sampled,여자 아이스하키 단일팀 구성 반대,나는 여자 아이스하키 단일팀에 반대한다.,3.2,1.0
boostcamp-sts-v1-train-084,slack-rtt,천천히 완쾌하고 쉬세요.,천천히 회복하고 쉬세요.,3.8,1.0
boostcamp-sts-v1-train-085,slack-rtt,나도 등산을 정말 배우고 싶은데 기회가 된다면 같이 하면 좋을 것 같아!!!,나도 등산을 정말 배우고 싶지만 기회가 된다면 같이 하는 것도 좋을 것 같아!,4.4,1.0
boostcamp-sts-v1-train-086,slack-sampled,물은 답을 안다.,물의 요정이다! ㅋㅋ,0.2,0.0
boostcamp-sts-v1-train-087,slack-sampled,빨리 워크숍을 준비합시다!,"다음날 아침 8시에 워크숍을 하는 것은 쉽지 않았다, 반도전!",0.8,0.0
boostcamp-sts-v1-train-088,petition-sampled,현실적 통일 방안 2,청년실업 완화를 위한 방안 제시,0.2,0.0
boostcamp-sts-v1-train-089,slack-sampled,여기서 갈비를 먹으면서 이 장면을 보는 것은 정말 멋지다.,큰 갈비뼈가 제일 맛있었어요. 정자에 부는 시원한 바람도 일품이었다. 네가 최고야!,1.4,0.0
boostcamp-sts-v1-train-090,slack-sampled,그들이 수줍음이 많고 수다스러운 캐릭터라는 것을 깨닫고 ㅋㅋㅋ,재밌는 컨셉을 써도 감출 수 없는 퀄리티,1.0,0.0
boostcamp-sts-v1-train-091,petition-sampled,이민을 허락해 주세요.,소년법을 폐지해 주세요.,0.0,0.0
boostcamp-sts-v1-train-092,nsmc-sampled,그냥 재미있다,재밌으니까 봐.,2.8,1.0
boostcamp-sts-v1-train-093,nsmc-sampled,할머니: 감독님... 나는 농구를 하고 싶다.,나는 점이 없다. 안됐군요.,0.0,0.0
boostcamp-sts-v1-train-094,nsmc-sampled,나는 그것을 보면서 주인공 아이가 너무 불쌍했다.,친구가 무서워서 추천해 줬어요.,0.0,0.0
boostcamp-sts-v1-train-095,slack-sampled,"오, 대화 시스템!!! 환영합니다!",오! 기대된다!,0.0,0.0
boostcamp-sts-v1-train-096,nsmc-sampled,"게다가, 그것은 여러분이 자신에 대해 생각하고 자신을 돌아보게 하는 영화입니다.","모든 영화는 아닌 척하지만, 모두 우리 자신에게 위안이 된다.",0.6,0.0
boostcamp-sts-v1-train-097,slack-sampled,오하하하하,어떡해! 어떻게 그럴 수가 있어! 너무 신기해 하하.,3.6,1.0
boostcamp-sts-v1-train-098,slack-sampled,오늘은 입사한 지 100일째 되는 날이에요!,입사한 지 벌써 4개월 정도 됐어요.,2.8,1.0
boostcamp-sts-v1-train-099,slack-sampled,나는 이것에 대해 매우 공감이 간다.,나는 그것에 매우 공감이 간다.,3.4,1.0
boostcamp-sts-v1-train-100,petition-sampled,히딩크 감독을 데려와야 해,히딩크는 다시 한국 축구 감독이 될 것이다.,3.2,1.0
boostcamp-sts-v1-train-101,petition-sampled,당신은 당신의 나라를 위해 이것을 하고 있나요? 당신은 돈을 벌기 위해 그 길로 갔나요?,자영업자 다 죽일 거야?,0.0,0.0
boostcamp-sts-v1-train-102,slack-sampled,나는 매일 건조기 없이 빨래를 하고 있다. 알았어요.,나는 큰 크기의 모션 데스크를 사용하고 있고 만족한다.,0.4,0.0
boostcamp-sts-v1-train-103,nsmc-rtt,회사 이름만 말해 주세요.,회사 이름은 언급하지 마세요.,1.0,0.0
boostcamp-sts-v1-train-104,petition-sampled,이명박이 나가는 것을 중지하십시오.,이명박의 출국을 금지하십시오.,4.2,1.0
boostcamp-sts-v1-train-105,nsmc-sampled,머뭇거리다가 갑자기 터지는 느낌이다.,뒤통수를 맞은 것 같아요.,0.2,0.0
boostcamp-sts-v1-train-106,nsmc-rtt,"더 행복한 결말이었으면 더 좋았을 텐데, 직장 복지를 위한 과제를 남긴 것 같아 기쁘다.","해피엔딩이었으면 좋았을 텐데, 직장복지라는 숙제를 남겨줘서 좋았다.",4.2,1.0
boostcamp-sts-v1-train-107,petition-sampled,경추압박골절시 시술대기시간을 제거해주세요,건강보험 적용범위 확대를 위한 오타 제거 절차를 포함해주세요.,0.0,0.0
boostcamp-sts-v1-train-108,petition-sampled,청화대학교 청원 이름을 밝혀주세요.,"청와대 국민청원 근거 없는 청원 삭제, 직권남용 직원 형사처벌 부탁드립니다.",1.2,0.0
boostcamp-sts-v1-train-109,nsmc-sampled,나는 영화의 재미보다는 짚라인을 타고 싶다.,형편없는 영화의 여운.나는 그녀의 말을 끝까지 듣고 싶다.,0.0,0.0
boostcamp-sts-v1-train-110,nsmc-rtt,"한국의 ""유령 생활""과 ""시칠리오크""도 완성도가 높다.",한국의 '귀신이 산다'와 '치칠리아 옥km'는 완성도가 높다.,3.8,1.0
boostcamp-sts-v1-train-111,nsmc-sampled,"감정이 메마른 탓인지는 모르겠지만, 개인적으로 굉장히 지루하고 지루한 영화다.",정말 지루한 영화야.,3.0,1.0
boostcamp-sts-v1-train-112,petition-sampled,민간어린이집과 가정어린이집을 위한 법을 만든다.,민간어린이집 및 가정어린이집 운영비 지원 부탁드립니다.,2.0,0.0
boostcamp-sts-v1-train-113,nsmc-rtt,"무엇보다 원작의 분위기와 환경, 스토리를 최대한 만들어야 하는데 세 사람 모두 다른 스토리를 만들 수밖에 없는 것 같았다.","무엇보다 원작의 분위기와 환경, 스토리를 최대한 활용해야 했지만 세 작품 모두 다른 스토리를 만들어야 할 것 같았다.",3.8,1.0
boostcamp-sts-v1-train-114,slack-sampled,다들 점심은 드셨나요?~~,모두들 점심 맛있게 드세요.,2.8,1.0
boostcamp-sts-v1-train-115,nsmc-sampled,나는 오랜만에 최악의 영화를 봤다.,오랜만에 좋은 영화를 봤어요.,0.6,0.0
boostcamp-sts-v1-train-116,slack-sampled,지금도 아침에 코치하고 가족들이 자주 함께 가는 가족 스포츠야!,그리고 그는 그림 그리는 것을 좋아해서 태블릿을 사서 종종 그립니다!,0.0,0.0
boostcamp-sts-v1-train-117,petition-rtt,나경원 비서관과 의원님. 나경원 비서관 학대로 특검 요청,"나경원 비서관, 나경원 특별검사, 욕설 요구",2.6,1.0
boostcamp-sts-v1-train-118,slack-rtt,뭔지는 모르겠지만 드라마에서 그런 컵에 그냥 마셔요.,뭔지 모르겠지만 드라마에서 그냥 잔으로 마셔요.,3.8,1.0
boostcamp-sts-v1-train-119,petition-sampled,주 52시간 근무에 대하여,이것은 주 52시간 근무제에 대한 나의 의견이다.,3.2,1.0
boostcamp-sts-v1-train-120,petition-sampled,두 아이를 갖는 것의 이점,다자녀 가구 부모에 의한 공무원 우선 채용,0.6,0.0
boostcamp-sts-v1-train-121,slack-sampled,아이가 게임에 빠지지 않도록 하는 방법입니다.,인도에서 출발하는 비행은 2주 동안 금지된다.,0.0,0.0
boostcamp-sts-v1-train-122,slack-sampled,그들은 건강한 취미를 따라 건강한 음식을 즐깁니다.,그들은 다양한 공간에서 생활 방식을 경험하는 것을 즐깁니다.,0.4,0.0
boostcamp-sts-v1-train-123,petition-sampled,집값 안정 청원,집값을 안정시키기 위한 제안,3.2,1.0
boostcamp-sts-v1-train-124,petition-sampled,황제의 수고를 덜어주세요.,나는 황실 노동의 폐지를 원한다.,3.4,1.0
boostcamp-sts-v1-train-125,petition-sampled,욱일기! 지금 당장 전범 사용을 금지하는 법안을 만들어라.,풍등을 만들고 날리는 행위는 법으로 금지되어야 한다.,0.0,0.0
boostcamp-sts-v1-train-126,slack-rtt,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,나는 이것을 읽으면서 웃지 않을 수 없다.,3.2,1.0
boostcamp-sts-v1-train-127,petition-sampled,진정서를 모아주세요. 중국발 미세먼지,중국발 미세먼지에 대한 대책을 세워주세요.,2.2,0.0
boostcamp-sts-v1-train-128,nsmc-sampled,남주의 음식 흡입 장면은 혐오감으로 편집된다.,그녀는 노출이 심해요.내가 재밌어서 피곤해서 본 영화.,0.0,0.0
boostcamp-sts-v1-train-129,petition-sampled,이동 및 과속 단속 카메라 대신 과속 단속 CCTV를 설치해주세요.,5m 이동 시 휴대폰 화면 자동 꺼짐 설치를 의무화해주세요.,0.0,0.0
boostcamp-sts-v1-train-130,slack-rtt,우리는 비슷한 목표를 가지고 있었다.,우리는 같은 것을 목표로 하고 있었다.,2.0,0.0
boostcamp-sts-v1-train-131,slack-rtt,(나도 해줄 수 있어),(잘 어울릴지도 몰라),0.0,0.0
boostcamp-sts-v1-train-132,nsmc-sampled,이런 종류의 영화는 지루하기 쉽지 않은데 이상하게도 지루하다.,나는 상어가 나오는 영화가 이렇게 지루할 수 있다는 것에 박수를 보낸다.,2.0,0.0
boostcamp-sts-v1-train-133,slack-rtt,신병교육대 2반 중에 고등학교 3학년이 있는 것을 보고 놀라서 공유했습니다.,신병교육대 2반 학생들 중에 고등학생이 있어서 놀랐던 경험을 공유했다.,3.0,1.0
boostcamp-sts-v1-train-134,petition-sampled,폭염에 대한 대책을 세워주시기 바랍니다.,지진 예방에 주의하시기 바랍니다.,0.6,0.0
boostcamp-sts-v1-train-135,petition-sampled,조두순 출소 반대 서명,조두순 출소 반대 청원,4.0,1.0
boostcamp-sts-v1-train-136,nsmc-rtt,나는 이 그림의 주제가 전쟁에 대한 미화가 아니라 세계를 적으로 만드는 일본 정부의 접근과 젊은이를 위한 비행기를 설계하는 꿈이라고 생각한다.,이 작품의 주제는 전쟁에 대한 미화가 아니라 세계를 적으로 만들면서 전쟁을 해서는 안 된다는 일본 정부의 함축적 의미와 비행기를 설계하는 젊은이의 꿈이라고 생각한다.,3.6,1.0
boostcamp-sts-v1-train-137,slack-rtt,평화의 길의 어딘가에서.,평화로운 곳이 최고다.,2.5,1.0
boostcamp-sts-v1-train-138,nsmc-sampled,생각보다...우연의 과잉,드라마 부작용은 영화보다 낫다...,0.0,0.0
boostcamp-sts-v1-train-139,nsmc-sampled,"실행, 실행, 실행, 실행, 실행, 실행, 실행, 실행","난 두려움이 싫어. 어쨋든, 난 추천하지 않아.",0.0,0.0
boostcamp-sts-v1-train-140,nsmc-sampled,이 영화도 그렇다.,그 감독의 모든 영화는 추천되지 않는다.,0.8,0.0
boostcamp-sts-v1-train-141,petition-rtt,송파구청장 헬리오시티 비리신고,송파구청장 헬리오시티 비리 공익신고,4.2,1.0
boostcamp-sts-v1-train-142,petition-sampled,국민연금이 주식을 빌려주는 것을 전면 금지해 주세요.,국민연금 주식 대출을 금지해 주세요. 개미들은 죽을 것입니다.,3.4,1.0
boostcamp-sts-v1-train-143,slack-sampled,그것은 오늘 오후 7시에 야영객들과 공유될 것이다.,내일 오전 10시쯤 같은 메세지가 발송될 예정입니다!,0.4,0.0
boostcamp-sts-v1-train-144,slack-sampled,금요일에 만날 정보요원은...,금요일에 더 많은 이야기를 합시다!,1.4,0.0
boostcamp-sts-v1-train-145,petition-rtt,[제발] 이명박 개인 청원은 하지 말고 추천번호로 정리해서 3만 단위로 청원에 참여해야 참여 인원이 늘어난다.,[부탁드립니다] 개별적으로 청원을 제기하지 말고 추천순으로 이명박을 정리하고 3만 명과 함께 청원에 참여해 참여인원을 늘린다.,4.5,1.0
boostcamp-sts-v1-train-146,slack-rtt,아마 배터리 문제 때문일 거예요.,배터리 문제 때문인가요?,2.8,1.0
boostcamp-sts-v1-train-147,nsmc-sampled,영원히... 그리고 영원한 사랑.,너무 지루해................................................................................................................,0.0,0.0
boostcamp-sts-v1-train-148,slack-rtt,어린이날에 산 선인장이 왔다.,어린이날에 산 선인장이 왔어요.,4.6,1.0
boostcamp-sts-v1-train-149,petition-sampled,김영란법을 폐지해 주세요.,김영란 법 폐지해주세요! 제발,4.0,1.0
boostcamp-sts-v1-train-150,petition-sampled,MB 출국금지 신청,이명박 출국 금지 요청,3.6,1.0
boostcamp-sts-v1-train-151,petition-sampled,아파트 누수수당 감면을 청원합니다.,보육교사의 수를 어린이로 조정해 주시기를 부탁드립니다.,0.2,0.0
boostcamp-sts-v1-train-152,petition-sampled,성범죄 공소시효 폐지를 청원합니다.,청소년보호법과 청소년법 폐지를 청원합니다.,0.2,0.0
boostcamp-sts-v1-train-153,nsmc-rtt,"결론적으로, 전혀 웃기지 않아요.",결론은 완전히 말도 안 된다.,1.8,0.0
boostcamp-sts-v1-train-154,nsmc-sampled,시간을 죽이는 것은 매우...,시간 때우기에도 가깝지 않아요.,1.2,0.0
boostcamp-sts-v1-train-155,petition-sampled,엄청난 여파를 가져올 개정안,많은 사람들이 엄청난 피해를 입고 있다.,0.0,0.0
boostcamp-sts-v1-train-156,slack-rtt,비전과 라식 이야기부터 시작합시다. 나는 내 일에 대해 이야기를 끝냈어 ㅋㅋㅋ,비전과 라식 이야기로 시작해서 작품 이야기로 끝이 났다.,4.0,1.0
boostcamp-sts-v1-train-157,petition-sampled,조기입학을 고려해주세요.,수시는 필수입니다.,2.6,1.0
boostcamp-sts-v1-train-158,slack-rtt,처음 만난 사람들과 친해질 수 있을 것 같아!,처음 만나는 사람들과 친해질 수 있을 것 같아!,3.4,1.0
boostcamp-sts-v1-train-159,nsmc-sampled,시간 때우기에 안성맞춤입니다.,시간 때우기에 딱 좋다는 평점을 봤어요. 시간 때우기에 안성맞춤입니다.,3.0,1.0
