id,source,sentence_1,sentence_2,label,binary-label,target
boostcamp-sts-v1-dev-217,slack-rtt,덕분에 데이터 팀에서 일하시는 방식이나 집무실에 대해 잘 알게 되었습니다ㅎ,덕분에 데이터 팀이 일하는 방식과 사무실에 대한 좋은 아이디어를 얻었습니다.,3.0,1.0,3.7
boostcamp-sts-v1-dev-220,nsmc-rtt,이홍기가 캐스팅미스다,이홍기는 캐스팅 미스다.,4.8,1.0,4.5
boostcamp-sts-v1-dev-224,slack-rtt,<PERSON> 와 <PERSON> 님도 계셨으면 좋았을텐데... 다음에는 꼭 같이 와요!,<PERSON>님과 <PERSON>님도 함께 했으면 좋았을 텐데... 다음에 꼭 함께 가주세요!,4.2,1.0,3.5
boostcamp-sts-v1-dev-228,petition-rtt,성범죄처벌강화청원의 문제점,성범죄 처벌 강화 청원의 문제점,5.0,1.0,4.6
boostcamp-sts-v1-dev-233,slack-rtt,두부라고 하니 두부로 보이는 매직…,두부처럼 생긴 마법...,1.6,0.0,2.0
boostcamp-sts-v1-dev-235,slack-rtt,천천히 알아가도록 하겠습니다! ㅋ,천천히 알아보자! ㅋㅋㅋ,3.4,1.0,4.0
boostcamp-sts-v1-dev-237,slack-rtt,반동없이 10개는 처음이네요,반동 없이 10회를 해본 것은 처음이다.,4.0,1.0,3.7
boostcamp-sts-v1-dev-252,slack-rtt,슬랙 워크플로우를 이용하면 반복 업무를 쉽게 처리할 수 있습니다.,Slack 워크플로를 사용하면 반복적인 작업을 쉽게 처리할 수 있습니다.,4.6,1.0,4.5
boostcamp-sts-v1-dev-253,petition-rtt,버스등 졸음방지 장치 관련 안건,버스 등 졸음예방기기 관련 안건,4.4,1.0,4.4
boostcamp-sts-v1-dev-255,nsmc-rtt,고민없이 만든 로맨틱물.,고민 없이 만든 로맨스 영화.,3.4,1.0,4.5
boostcamp-sts-v1-dev-266,nsmc-rtt,오글거린다 답답하다 ㅉ,"속이 쓰리다, 답답하다.",2.6,1.0,3.7
boostcamp-sts-v1-dev-272,nsmc-rtt,이 드라마의 히트는 훗날 사극들에 지대한 영향을 끼쳤다.,이 드라마의 흥행은 후대의 사극에 지대한 영향을 미쳤다.,4.4,1.0,4.3
boostcamp-sts-v1-dev-278,slack-rtt,귀한분의 생일 많이 축하해주세요.,사랑하는 당신의 생일을 축하합니다.,2.8,1.0,2.9
boostcamp-sts-v1-dev-279,nsmc-rtt,"독일장교옆에서 피아노 연주, 전쟁 생존기, 키큰남자가 가장 기억에 남는다.","독일 장교 옆에서 피아노 치는 것, 전쟁에서 살아남은 것, 키 큰 남자가 가장 기억에 남는다.",4.2,1.0,4.5
boostcamp-sts-v1-dev-280,nsmc-rtt,대부분 편에서 인물의 기본 베이스 깐다고 약간의 루즈함이 있지만 그 속편에서 제대로 된 재미를 보여주고 있다.,"대부분의 캐릭터들의 기본 베이스가 약간 헐거워진 부분이 있지만, 속편에서는 리얼한 재미를 보여주고 있다.",3.6,1.0,3.3
boostcamp-sts-v1-dev-281,petition-rtt,대구모..초등학교의 끔찍한 단면,대구모.. 초등학교의 끔찍한 단면,5.0,1.0,4.6
boostcamp-sts-v1-dev-287,petition-rtt,너의 췌장을 먹고 싶어.,너의 췌장을 먹고 싶어,5.0,1.0,4.6
boostcamp-sts-v1-dev-288,petition-rtt,과장과 공포에 굴복하여 도리어 국민생명을 위협하고 있는 비이성적인 '독일 따라하기' 탈원전 정책을 멈춰주십시오.,과장과 공포에 굴복하여 국민의 생명을 위협하는 불합리한 '독일을 모방'하는 비핵화 정책을 멈춰주세요.,2.4,0.0,4.1
boostcamp-sts-v1-dev-291,slack-rtt,늦었지만 ㅎ 환영합니다!,늦었지만 환영합니다!,4.8,1.0,4.6
boostcamp-sts-v1-dev-292,slack-rtt,"닉네임(한글본명)을 사용할 경우, 어떤 분들은 닉네임으로 부르고, 어떤 분들은 한글본명+님 으로 부르게 됨","닉네임(한국식 실명)을 사용할 때 닉네임이라고 하는 사람도 있고, 한국식 실명+님이라고 하는 사람도 있습니다.",3.6,1.0,4.5
boostcamp-sts-v1-dev-295,petition-rtt,주택 과다보유 금지,주택 과잉 소유 금지,4.6,1.0,4.4
boostcamp-sts-v1-dev-296,slack-rtt,맞아요 딱 정로환 ㅋㅋ,그렇군요 정로환입니다 ㅋㅋ,2.8,1.0,3.6
boostcamp-sts-v1-dev-299,slack-rtt,조만간 또 뵙겠습니다~,곧 다시 보자,3.4,1.0,2.5
boostcamp-sts-v1-dev-301,petition-rtt,문 대통령은 북미 수교 정상화시켜 남북한 평화와 통일의길로 ㅎㅣㅎ,문 대통령은 남북한의 국교 정상화를 통해 남북한의 평화와 통일을 이뤘다.,2.2,0.0,3.3
boostcamp-sts-v1-dev-302,nsmc-rtt,"과거의 기독교는 권력을 목적으로 사람을 세뇌시켜 통치했지만, 문명화된 오늘날의 기독교는 법치주의와 민주주의로 인해 권력을 못잡기에 돈을 목적으로 사람들을 세뇌시키고 있지...",과거 기독교는 권력을 위해 통치하기 위해 사람들을 세뇌했지만 오늘날의 문명화된 기독교는 법치와 민주주의로 인해 권력을 얻을 수 없기 때문에 돈을 위해 사람들을 세뇌하고 있습니다.,3.8,1.0,4.3
boostcamp-sts-v1-dev-303,petition-rtt,화재연기감지기 오피스텔 내 오작동 관련 인명피해에 대한 대책마련,오피스텔 화재화재감지기 오동작으로 인한 인명피해 대책 마련,4.6,1.0,3.3
boostcamp-sts-v1-dev-307,slack-rtt,주사위는 던져졌음 ㅋ,주사위가 던져진다,3.2,1.0,4.1
boostcamp-sts-v1-dev-308,petition-rtt,제 와이프는 간호조무사였습니다.,제 아내는 간호 조무사였습니다.,4.8,1.0,4.6
boostcamp-sts-v1-dev-312,slack-rtt,혹시 모션데스크 쓰시는 분들 어떤 브랜드 쓰시나요??,모션데스크를 사용한다면 어떤 브랜드를 사용하시나요?,4.0,1.0,4.2
boostcamp-sts-v1-dev-318,slack-rtt,돌아오는 수업도 열심히 질문하면서 적극적으로 듣도록하겠습니다!!,돌아오는 수업시간에 질문으로 적극적으로 경청하도록 노력하겠습니다!!,3.8,1.0,4.5
boostcamp-sts-v1-dev-319,nsmc-rtt,그의 등장만으로 눈물이 날뻔 했다,그의 등장만으로도 눈물이 날 뻔했다.,4.8,1.0,4.6
boostcamp-sts-v1-dev-321,slack-rtt,자랑스러운 우리 멤버들. 말씀들도 너무 잘하시네요.,우리 회원님들이 자랑스럽습니다. 당신은 또한 말을 아주 잘합니다.,3.2,1.0,3.5
boostcamp-sts-v1-dev-322,petition-rtt,베트남 유학생도 사람이다,베트남 학생도 사람입니다,4.0,1.0,4.1
boostcamp-sts-v1-dev-330,nsmc-rtt,걍 고전 스릴러 재미없음,꽤 볼만한 스릴러.,0.8,0.0,0.8
boostcamp-sts-v1-dev-331,petition-rtt,"평창 올림픽 도움으로 비핵화의 첫 단추인 남, 북 대화까지 이루어지고 있는 시점에 왜? 미, 일은 한반도에 전혀 도움 되지 않는 한목소리를 내는지..!!","평창올림픽을 계기로 비핵화의 첫걸음, 남북대화가 이뤄지는 이유는? 미국과 일본이 한반도에 전혀 도움이 되지 않는 한 목소리를 내고 있다..!!",4.0,1.0,4.2
boostcamp-sts-v1-dev-338,petition-rtt,대통령님 제 2의 촛불의 희생자는 당신이 될수도있습니다,"대통령, 당신은 두 번째 촛불의 희생자가 될 수 있습니다",4.4,1.0,4.4
boostcamp-sts-v1-dev-345,slack-rtt,낯가림이 심한 편인데... 무엇 때문이었을까요...,좀 부끄럽지만... 이유가 뭘까요...,2.0,0.0,3.1
boostcamp-sts-v1-dev-351,slack-rtt,불가능을 가능으로 바꾸시는 포카리스웨트를 떠올리게 하는 <PERSON>함께 무사히 따릉이 입문했습니다.,불가능을 가능으로 만드는 포카리스웨트가 생각나는 <PERSON>과 함께 따릉이가 무사히 입장했습니다.,3.4,1.0,4.2
boostcamp-sts-v1-dev-353,slack-rtt,"오복수산에서 카이센동을 먹었는데요, 우니와 참치의 조합이 예술이었습니다",오복수산에서 가이센동 먹었는데 우니와 참치 조합이 예술,4.2,1.0,4.5
boostcamp-sts-v1-dev-354,nsmc-rtt,영화 '플러스 원'과 언뜻 비슷한 느낌이 들기도 했지만...허접하고 어설프기 짝이 없었던 배우들 연기와 전개....,얼핏보면 영화 '플러스원'과 비슷한 느낌이었지만...,2.8,1.0,2.9
boostcamp-sts-v1-dev-357,petition-rtt,음주운전 확실히잡읍시다,음주운전을 꼭 만납시다.,1.4,0.0,2.2
boostcamp-sts-v1-dev-361,nsmc-rtt,혜고언니도 짱 이쁨,혜고언니도 이쁘다,3.8,1.0,4.3
boostcamp-sts-v1-dev-364,petition-rtt,청와대 비서실 명의를 사칭한 뷰티유튜버 처벌해주세요.,청와대 비서실 사칭한 뷰티 유튜버 처벌해주세요.,4.5,1.0,4.6
boostcamp-sts-v1-dev-366,petition-rtt,부산에 사상구억 이런 청소년 폭행사건이 비일비재한 현실에 부디 폐지하셔서 더이상의 무고한 학생들과 아이들이 피해가 생기지않게 해주십시요,부산에서 이런 청소년 폭력 사건이 만연한 상황에서 더 이상 무고한 학생과 어린이들이 피해를 입지 않도록 폐지해 주십시오.,3.5,1.0,3.9
boostcamp-sts-v1-dev-369,petition-rtt,정부 주택 정책 문제점,정부 주택 정책 문제,4.6,1.0,4.4
boostcamp-sts-v1-dev-378,petition-rtt,음주흡연 단속 사각지대 스크린야구장,음주 및 흡연을 위한 사각지대 통제 스크린 야구장,3.0,1.0,3.6
boostcamp-sts-v1-dev-380,slack-rtt,응원합니다아!!!!,응원합니다!!!!,4.8,1.0,4.3
boostcamp-sts-v1-dev-384,slack-rtt,아니면 <PERSON> 님이랑 합체해서 댄스 가수로 데뷔를...,아니면 <PERSON>과 함께 댄스 가수로 데뷔...,3.4,1.0,4.3
boostcamp-sts-v1-dev-385,nsmc-rtt,몇마디 안되는 그의 대사가 가슴을 후벼판다.,그의 몇 줄의 대화가 마음을 아프게 합니다.,3.8,1.0,2.7
boostcamp-sts-v1-dev-388,slack-rtt,냉각타임때 불러주세요,쿨타임이 되면 전화해,0.8,0.0,0.5
boostcamp-sts-v1-dev-389,slack-rtt,사용해보신 분들 계시면 후기 듣고 싶습니당,써보셨다면 후기를 듣고 싶습니다.,4.0,1.0,4.1
boostcamp-sts-v1-dev-390,nsmc-rtt,편보다 편이 더 재밌는 영화... 편부터는 보지마,본편보다 영화가 더 재밌어... 본편은 보지마,1.6,0.0,3.5
boostcamp-sts-v1-dev-392,slack-rtt,정말 오랜만에 <PERSON> 님과 대화를 나눴습니다.,오랜만에 <PERSON>님과 이야기를 나눴습니다.,4.2,1.0,4.6
